,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Lazaro Cardenas,75,MX,1551895463,29,28.39,-105.62,21.11,2.1
77,Sisimiut,12,GL,1551895474,81,66.94,-53.67,-10.99,1.43
78,Avarua,80,CK,1551893400,74,-21.21,-159.78,26.0,3.6
79,Kalemie,68,CD,1551895578,100,-5.95,29.2,23.17,4.78
80,Chuzhou,8,CN,1551895578,66,32.25,118.33,4.02,4.93
81,Durango,90,US,1551895422,64,37.28,-107.88,8.0,2.1
82,Omsukchan,36,RU,1551895578,77,62.53,155.8,-25.61,1.18
83,Movilita,0,RO,1551895456,31,44.65,26.48,11.11,3.6
84,Samarai,76,PG,1551895527,100,-10.62,150.67,26.67,1.43
85,Verkhnyaya Inta,80,RU,1551895524,67,65.99,60.32,-10.41,1.78
86,Carballo,40,ES,1551895505,81,43.21,-8.69,12.78,5.7
87,Boca de Parita,20,PA,1551895200,41,8.02,-80.45,33.0,5.1
88,Vestmannaeyjar,0,IS,1551891600,100,63.44,-20.27,0.0,8.2
89,Bluff,0,AU,1551895481,91,-23.58,149.07,22.97,3.03
90,Kamaishi,92,JP,1551895579,86,39.28,141.86,3.14,1.08
91,Banyo,88,CM,1551895580,18,6.75,11.81,30.72,3.93
92,Hearst,32,CA,1551895517,44,49.69,-83.67,-13.36,2.68
93,Tuktoyaktuk,90,CA,1551891600,84,69.44,-133.03,-15.0,1.5
94,Plettenberg Bay,0,ZA,1551895519,92,-34.05,23.37,21.97,6.88
95,Kawalu,92,ID,1551895580,94,-7.38,108.21,20.02,0.58
96,Kolda,0,SN,1551895580,12,12.89,-14.94,37.14,4.58
97,Nouadhibou,0,MR,1551891600,64,20.93,-17.03,21.0,10.8
98,Henties Bay,0,NA,1551895323,87,-22.12,14.28,21.11,4.47
99,Lata,0,IN,1551895498,94,30.78,78.62,-2.09,0.93
100,Mazatlan,75,MX,1551895249,36,23.22,-106.42,27.0,2.6
101,Pasni,0,PK,1551895581,92,25.26,63.48,21.37,5.48
102,Ancud,75,CL,1551891600,82,-41.87,-73.83,19.0,4.6
103,Nanortalik,0,GL,1551895235,92,60.14,-45.24,0.02,9.58
104,Lokosovo,80,RU,1551895524,75,61.13,74.84,-6.86,7.73
105,Hamilton,75,BM,1551894771,68,32.3,-64.78,20.0,9.3
106,Souillac,0,FR,1551895028,76,45.6,-0.6,14.44,5.1
107,Kanniyakumari,0,IN,1551895583,96,8.08,77.57,28.72,6.88
108,Talnakh,56,RU,1551895583,70,69.49,88.39,-17.19,6.18
109,Kahului,40,US,1551895430,88,20.89,-156.47,20.0,7.7
110,Marsa Matruh,0,EG,1551891600,77,31.35,27.25,15.0,2.6
111,Nisia Floresta,40,BR,1551891600,62,-6.09,-35.21,31.0,7.7
112,Vaini,0,IN,1551895467,84,15.34,74.49,15.72,1.08
113,Otane,0,NZ,1551895585,84,-39.89,176.62,6.57,1.53
114,Perth,75,GB,1551895521,100,56.4,-3.43,8.89,3.1
115,Zeya,0,RU,1551895586,54,53.74,127.27,-14.64,0.93
116,Upernavik,12,GL,1551895476,100,72.79,-56.15,-13.39,7.18
117,Sao Filipe,0,CV,1551895471,89,14.9,-24.5,22.52,9.18
118,Hobart,20,AU,1551895456,65,-42.88,147.33,8.33,3.6
119,Puerto Ayora,75,EC,1551891600,70,-0.74,-90.35,29.0,5.7
120,Touros,40,BR,1551891600,74,-5.2,-35.46,30.0,5.1
121,Podgorenskiy,24,RU,1551895587,96,50.4,39.64,0.12,3.23
122,Pevek,80,RU,1551895176,77,69.7,170.27,-18.11,0.93
123,Oistins,40,BB,1551891600,58,13.07,-59.53,30.0,8.2
124,Bud,0,NO,1551895261,100,62.91,6.91,2.22,4.6
125,Kruisfontein,0,ZA,1551895532,71,-34.0,24.73,21.47,6.38
126,Moron,24,VE,1551895587,72,10.49,-68.2,27.12,1.78
127,Imbituba,20,BR,1551891600,66,-28.24,-48.67,31.0,6.7
128,Salalah,0,OM,1551891000,69,17.01,54.1,25.0,1.5
129,Innisfail,75,CA,1551895216,84,52.02,-113.95,-13.89,4.6
130,Constantine,75,DZ,1551893400,36,36.36,6.61,20.0,5.7
131,Chernyshevskiy,20,RU,1551895588,66,63.01,112.47,-8.11,4.23
132,Muroto,76,JP,1551895588,100,33.37,134.14,9.59,6.18
133,Karratha,56,AU,1551895588,69,-20.74,116.85,27.27,3.53
134,San Patricio,12,PY,1551895529,69,-26.98,-56.83,30.37,0.33
135,Victor Harbor,0,AU,1551895554,66,-35.55,138.62,10.56,3.1
136,Biak,64,ID,1551895588,100,-0.91,122.88,25.07,0.93
137,Adrar,0,DZ,1551891600,16,27.87,-0.29,29.0,4.1
138,Ozernovskiy,68,RU,1551895589,90,51.5,156.52,-8.91,4.13
139,Clyde River,75,CA,1551891600,83,70.47,-68.59,-20.0,5.1
140,Kovdor,8,RU,1551895589,82,67.56,30.47,-11.04,2.68
141,Belmonte,48,PT,1551895411,86,40.36,-7.35,10.0,1.79
142,Faanui,88,PF,1551895500,98,-16.48,-151.75,29.12,4.33
143,Hithadhoo,76,MV,1551895467,100,-0.6,73.08,28.59,3.33
144,San Luis,0,AR,1551895590,50,-33.3,-66.34,30.97,5.23
145,Sabang,24,PH,1551895590,98,13.72,123.58,23.02,1.53
146,Na Klang,0,TH,1551895591,56,17.3,102.21,22.37,1.88
147,Westport,75,IE,1551895206,75,53.8,-9.52,8.89,9.8
148,Kodiak,1,US,1551895164,23,39.95,-94.76,-1.11,3.6
149,Manokwari,68,ID,1551895490,100,-0.87,134.08,26.72,0.08
150,Kavieng,36,PG,1551895353,100,-2.57,150.8,28.02,2.28
151,Karema,20,TZ,1551895591,83,-6.82,30.44,20.49,1.13
152,Angoram,76,PG,1551895592,99,-4.06,144.07,23.87,1.18
153,Cidreira,92,BR,1551895473,76,-30.17,-50.22,28.59,4.53
154,Kaitangata,0,NZ,1551895553,60,-46.28,169.85,15.56,1.34
155,Tual,44,ID,1551895592,100,-5.67,132.75,28.17,2.83
156,Butaritari,80,KI,1551895165,100,3.07,172.79,26.49,3.03
157,Hualmay,8,PE,1551895306,60,-11.1,-77.61,27.07,2.73
158,Baiyin,90,CN,1551891600,51,36.55,104.13,4.0,4.0
159,Sur,24,OM,1551895540,98,22.57,59.53,21.82,6.18
160,Tilichiki,32,RU,1551895341,70,60.47,166.1,-10.66,2.98
161,Kuito,20,AO,1551895593,90,-12.38,16.94,17.89,1.83
162,Kryve Ozero,56,UA,1551895593,83,47.95,30.35,4.67,3.43
163,Port Lincoln,20,AU,1551895484,100,-34.72,135.86,12.37,2.38
164,Marawi,64,PH,1551895209,83,8.0,124.29,25.0,3.13
165,Ribeira Grande,75,PT,1551893400,87,38.52,-28.7,16.0,8.7
166,Tessalit,0,ML,1551895593,12,20.2,1.01,24.39,2.18
167,Arraial do Cabo,0,BR,1551891600,66,-22.97,-42.02,32.0,8.2
168,Seoul,48,KR,1551893400,82,37.57,126.98,4.0,3.6
169,Husavik,36,CA,1551895470,68,50.56,-96.99,-12.78,8.49
170,Merauke,64,ID,1551895472,100,-8.49,140.4,25.07,1.98
171,Nelson Bay,90,AU,1551895415,68,-32.72,152.14,21.0,6.7
172,Conceicao do Araguaia,44,BR,1551895594,96,-8.26,-49.26,28.34,1.18
173,Sobolevo,0,RU,1551895594,72,54.43,31.9,-12.04,1.23
174,Vila Velha,90,BR,1551895429,94,-3.71,-38.6,25.0,4.6
175,Pangnirtung,20,CA,1551891600,83,66.15,-65.72,-25.0,1.5
176,Ust-Nera,8,RU,1551895594,0,64.57,143.24,-41.84,0.83
177,Awbari,0,LY,1551895485,26,26.59,12.77,16.17,3.03
178,New Norfolk,20,AU,1551895456,65,-42.78,147.06,8.33,3.6
179,Gigmoto,80,PH,1551895595,100,13.78,124.39,24.32,1.88
180,Nhulunbuy,36,AU,1551891600,94,-12.18,136.78,26.0,2.1
181,Cabo San Lucas,75,MX,1551895264,64,22.89,-109.91,26.67,2.1
182,Qasigiannguit,20,GL,1551891000,36,68.82,-51.19,-9.0,1.5
183,Strehaia,0,RO,1551895324,25,44.62,23.2,11.67,2.6
184,Iqaluit,20,CA,1551895375,69,63.75,-68.52,-25.0,6.7
185,Palmer,0,AU,1551895554,66,-34.85,139.16,11.67,3.1
186,Ondjiva,40,AO,1551891600,83,-17.07,15.73,23.0,1.0
187,Barrow,20,AR,1551895466,48,-38.31,-60.23,30.64,9.93
188,San Quintin,0,PH,1551895530,86,17.54,120.52,19.24,1.08
189,San Cristobal,75,EC,1551895211,46,-0.39,-78.55,21.0,2.1
190,Port Elizabeth,75,US,1551895441,35,39.31,-74.98,-1.11,6.7
191,Chapais,75,CA,1551894540,49,49.78,-74.86,-16.0,6.2
192,San Miguel,0,AR,1551895502,62,-34.54,-58.72,33.89,3.6
193,Novorzhev,0,RU,1551895599,66,57.03,29.33,-10.79,3.13
194,Nizhniy Kuranakh,76,RU,1551895599,74,58.84,125.49,-7.51,2.33
195,Broken Hill,0,AU,1551891600,37,-31.97,141.45,13.0,6.7
196,Dehloran,0,IR,1551895600,36,32.69,47.27,14.02,4.68
197,Aqtobe,0,KZ,1551893400,80,50.28,57.21,2.0,10.0
198,Amapa,40,HN,1551895200,51,15.09,-87.97,30.0,8.2
199,Shitanjing,20,CN,1551895600,67,39.23,106.34,-10.09,1.23
200,Sistranda,0,NO,1551895099,62,63.73,8.83,-2.22,2.6
201,Saint-Joseph,90,FR,1551895583,71,43.56,6.97,14.0,2.6
202,Ust-Maya,88,RU,1551895601,77,60.42,134.54,-20.24,1.38
203,Esperance,20,TT,1551895253,52,10.24,-61.45,31.67,6.7
204,Yatou,75,CM,1551891600,79,3.63,9.81,29.0,1.5
205,Tiksi,80,RU,1551895461,63,71.64,128.87,-16.04,1.18
206,Sambava,80,MG,1551895602,100,-14.27,50.17,26.47,1.03
207,Mahon,40,IE,1551895373,81,51.89,-8.4,7.78,9.8
208,Ussel,48,FR,1551895534,91,45.55,2.31,11.11,1.34
209,Aklavik,75,CA,1551891600,84,68.22,-135.01,-15.0,1.0
210,Komsomolskiy,76,RU,1551895503,77,67.55,63.78,-14.41,3.93
211,Antalaha,92,MG,1551895603,89,-14.9,50.28,26.32,1.98
212,Onokhoy,24,RU,1551893400,79,51.92,108.05,-6.0,2.0
213,Atasu,0,KZ,1551895320,45,48.68,71.64,-14.09,2.23
214,Zapolyarnyy,0,RU,1551894600,72,69.43,30.82,-11.0,8.7
215,Sangar,80,RU,1551895603,67,63.92,127.47,-16.74,3.38
216,Bethal,24,ZA,1551895285,77,-26.46,29.47,21.11,1.34
217,Graciano Sanchez,75,MX,1551894360,50,23.92,-99.28,13.0,4.1
218,Mehamn,75,NO,1551892800,62,71.03,27.85,-6.0,3.1
219,Novoorsk,0,RU,1551891600,86,51.38,58.98,1.0,12.0
220,Comodoro Rivadavia,40,AR,1551891600,33,-45.87,-67.48,25.0,11.3
221,Banda Aceh,8,ID,1551895278,99,5.56,95.32,24.09,1.13
222,Padang,40,ID,1551891600,88,-0.92,100.36,27.0,1.0
223,Mahibadhoo,88,MV,1551895604,100,3.78,72.97,28.02,3.78
224,Altay,36,CN,1551895605,81,47.83,88.13,-7.94,0.53
225,Muzhi,88,RU,1551895605,79,65.4,64.7,-9.39,3.98
226,Kloulklubed,75,PW,1551891000,83,7.04,134.26,26.0,4.1
227,Nikolskoye,0,RU,1551895234,67,59.7,30.79,-6.11,1.0
228,Oussouye,0,SN,1551891600,31,12.49,-16.54,39.0,4.1
229,Kapit,92,MY,1551895506,97,2.02,112.94,21.57,0.58
230,Yumen,12,CN,1551895483,61,40.29,97.04,-3.09,3.28
231,Salinas,90,US,1551895352,67,36.67,-121.66,16.0,3.6
232,Missoula,90,US,1551895328,68,46.87,-114.0,-1.11,3.1
233,Abhar,20,IR,1551895606,76,36.14,49.22,-1.89,0.98
234,Codrington,12,AU,1551895248,94,-28.95,153.24,22.78,1.43
235,Broome,40,GB,1551895602,87,52.47,1.45,12.0,8.2
236,Saint Pete Beach,1,US,1551895408,24,27.73,-82.74,16.67,5.7
237,Fairbanks,90,US,1551895524,92,64.84,-147.72,-6.11,1.63
238,Marsaxlokk,20,MT,1551895527,93,35.84,14.54,15.0,5.1
239,Pisco,0,PE,1551891600,30,-13.71,-76.2,22.0,4.1
240,Abu Dhabi,0,AE,1551891600,77,24.47,54.37,21.0,2.1
241,Machinga,88,MW,1551895607,99,-15.18,35.3,21.09,1.53
242,Hobyo,36,SO,1551895288,91,5.35,48.53,25.67,5.93
243,Selty,92,RU,1551895607,93,57.31,52.14,0.82,6.83
244,Torbay,90,CA,1551895274,85,47.66,-52.73,-3.89,1.0
245,Sal Rei,40,CV,1551891600,60,16.18,-22.92,24.0,11.3
246,Vao,20,EE,1551895541,85,59.1,26.19,-9.29,3.73
247,Twin Falls,1,US,1551895217,75,42.57,-114.46,6.0,1.5
248,Tall Kayf,40,TR,1551895200,81,37.08,41.07,12.22,3.1
249,Jalu,0,LY,1551895607,48,29.03,21.55,16.02,2.23
250,Lebu,0,ET,1551895608,84,8.96,38.73,11.39,1.23
251,Borovskoy,92,KZ,1551895608,90,53.8,64.15,2.02,10.08
252,Lima,0,PE,1551895504,65,-12.06,-77.04,28.0,3.1
253,Balaipungut,44,ID,1551895608,72,1.11,101.31,24.49,0.98
254,Grindavik,20,IS,1551894856,74,63.84,-22.43,0.56,8.2
255,Severomorsk,75,RU,1551893400,79,69.07,33.42,-7.0,4.0
256,Yokadouma,68,CM,1551895609,89,3.52,15.05,23.27,1.08
257,Morro Bay,90,US,1551895553,93,35.37,-120.85,16.0,6.2
258,Srandakan,100,ID,1551895609,100,-7.94,110.25,22.17,1.18
259,Dondo,90,MZ,1551891600,88,-19.62,34.74,27.0,8.73
260,Rocha,8,UY,1551895480,64,-34.48,-54.34,31.42,4.48
261,Male,8,UA,1551895542,87,50.74,33.7,-2.91,3.23
262,Alamor,40,EC,1551891600,62,-4.02,-80.02,32.0,2.1
263,La Palma,68,CO,1551895611,84,5.36,-74.39,23.39,0.73
264,Kang,64,BW,1551895611,31,-23.67,22.79,30.72,3.68
265,Shingu,100,JP,1551895537,100,33.72,135.99,13.17,10.08
266,Mayo,20,CA,1551891600,67,63.59,-135.9,-31.0,1.38
267,Te Anau,56,NZ,1551895612,60,-45.41,167.72,15.52,7.53
268,Portneuf,75,CA,1551895553,47,46.69,-71.89,-8.89,7.2
269,Jaisalmer,0,IN,1551895612,61,26.91,70.91,16.27,1.13
270,Port-Gentil,40,GA,1551891600,74,-0.72,8.78,30.0,6.2
271,Saskylakh,68,RU,1551895173,73,71.97,114.09,-17.76,4.58
272,Lompoc,75,US,1551895170,82,34.64,-120.46,16.11,3.6
273,Fortuna,0,ES,1551895524,31,38.18,-1.13,23.0,5.1
274,Avera,1,US,1551895458,22,33.19,-82.53,8.89,3.1
275,Mersing,92,MY,1551895613,90,2.43,103.84,26.57,1.53
276,Kharp,80,RU,1551895613,76,66.82,65.8,-11.91,3.43
277,Naze,32,NG,1551895457,83,5.43,7.07,26.89,3.03
278,Luanda,20,AO,1551891600,66,-8.83,13.24,30.0,2.1
279,Aneho,0,TG,1551895613,96,6.23,1.6,29.32,5.23
280,Bambanglipuro,100,ID,1551895539,100,-7.95,110.28,22.17,1.18
281,Wufeng,75,TW,1551895508,82,24.63,121.12,16.67,7.7
282,Umm Kaddadah,0,SD,1551895472,22,13.6,26.69,23.92,4.88
283,Novyy Urengoy,88,RU,1551895524,76,66.08,76.63,-13.79,10.43
284,Puerto Madero,0,AR,1551895502,70,-34.61,-58.36,33.89,3.1
285,Saldanha,92,PT,1551895500,94,41.42,-6.55,6.59,7.38
286,Klaksvik,24,FO,1551894600,64,62.23,-6.59,2.0,2.6
287,Aykhal,48,RU,1551895615,67,65.95,111.51,-8.79,5.53
288,Sagar,0,IN,1551895615,62,23.84,78.75,14.82,1.88
289,Coahuayana,0,MX,1551895615,24,18.62,-100.35,30.27,1.18
290,Lavrentiya,12,RU,1551895255,100,65.58,-170.99,-12.39,2.68
291,Nuuk,90,GL,1551895374,42,64.17,-51.74,-1.0,1.0
292,Canto do Buriti,88,BR,1551895615,84,-8.11,-42.94,27.39,3.08
293,Grand Gaube,75,MU,1551895444,78,-20.01,57.66,27.0,4.1
294,Honningsvag,40,NO,1551894600,53,70.98,25.97,-6.0,3.1
295,Redmond,90,US,1551895378,60,47.67,-122.12,4.44,2.6
296,Vila,75,IT,1551895584,87,45.18,8.4,13.33,3.6
297,Ahipara,36,NZ,1551895483,100,-35.17,173.16,15.56,2.18
298,Bambous Virieux,75,MU,1551895444,78,-20.34,57.76,27.0,4.1
299,Auki,0,NG,1551895509,29,12.18,6.51,30.32,1.68
300,Caravelas,12,BR,1551895343,100,-17.73,-39.27,29.37,4.23
301,Saint-Leu,36,RE,1551895528,88,-21.15,55.28,24.44,2.6
302,Kieta,92,PG,1551895617,100,-6.22,155.63,25.49,0.98
303,Katsuura,90,JP,1551894883,87,33.93,134.5,10.0,7.7
304,Ereymentau,56,KZ,1551895540,89,51.62,73.1,-3.91,5.83
305,Lehututu,44,BW,1551895618,27,-23.92,21.83,29.89,3.13
306,Assiniboia,0,CA,1551895618,92,49.63,-105.99,-16.91,2.08
307,Kontagora,8,NG,1551895619,27,10.4,5.47,34.24,2.13
308,Abu Samrah,0,SY,1551895619,70,35.3,37.18,8.82,4.23
309,Gbarnga,44,LR,1551895619,29,7.0,-9.47,36.27,1.93
310,Aripuana,56,BR,1551895619,65,-9.17,-60.63,31.59,1.38
311,Belaya Gora,0,RU,1551895619,0,68.54,146.19,-35.14,1.23
312,Kangalassy,0,RU,1551893400,92,62.35,129.97,-13.0,1.0
313,Liverpool,75,GB,1551895273,81,53.41,-2.98,11.67,3.1
314,Sept-Iles,20,CA,1551895340,43,50.2,-66.38,-10.0,5.1
315,Smirnykh,8,RU,1551895620,78,49.74,142.83,-20.49,1.63
316,San Rafael,0,AR,1551895513,24,-34.61,-68.33,32.74,3.43
317,Pozo Colorado,8,PY,1551895620,66,-23.49,-58.8,34.39,5.38
318,Minot,90,US,1551895453,65,48.23,-101.3,-13.89,6.7
319,Tadine,32,NC,1551895621,95,-21.55,167.88,26.24,5.03
320,Hay River,20,CA,1551891600,66,60.82,-115.79,-10.0,4.1
321,Bend,90,US,1551895365,79,44.06,-121.32,0.0,1.23
322,Kurilsk,0,RU,1551895621,100,45.23,147.88,-6.24,5.73
323,Pombia,75,IT,1551895616,87,45.65,8.63,14.44,3.6
324,Maumere,76,ID,1551895622,100,-8.63,122.22,25.64,2.38
325,Cap Malheureux,75,MU,1551895444,78,-19.98,57.61,27.0,4.1
326,Dalbandin,0,PK,1551895253,59,28.9,64.41,7.84,1.88
327,Los Llanos de Aridane,75,ES,1551895204,59,28.66,-17.92,19.0,8.7
328,Pontian Kecil,75,MY,1551895215,78,1.48,103.39,28.0,1.0
329,Zhezkazgan,0,KZ,1551895622,53,47.8,67.71,-13.94,1.23
330,Willowmore,12,ZA,1551895623,36,-33.3,23.49,24.52,1.43
331,Deputatskiy,0,RU,1551895623,0,69.3,139.9,-36.54,1.23
332,Severodvinsk,90,RU,1551893400,85,64.56,39.82,-10.0,4.0
333,Berlevag,40,NO,1551894600,67,70.86,29.09,-7.0,9.8
334,Hailar,0,CN,1551895624,65,49.2,119.7,-12.59,2.13
335,New Amsterdam,36,GY,1551895624,49,6.25,-57.52,32.59,3.78
336,Ajdabiya,0,LY,1551895624,46,30.75,20.22,13.77,3.08
337,Kiblawan,92,PH,1551895624,100,6.62,125.25,23.12,2.53
338,Ostrovnoy,64,RU,1551895624,78,68.05,39.51,-13.41,6.73
339,Moshkovo,90,RU,1551893400,85,55.3,83.61,-7.0,3.0
340,Klichka,0,RU,1551895625,50,50.44,118.0,-13.84,1.13
341,Poum,0,MK,1551895484,92,41.28,20.71,1.92,0.78
342,Borogontsy,88,RU,1551895625,80,62.67,131.17,-15.84,2.68
343,Valparaiso,90,US,1551895276,49,41.47,-87.06,-2.78,3.1
344,Nova Paka,0,CZ,1551895624,61,50.49,15.52,9.44,4.1
345,Puerto Madryn,0,AR,1551895625,46,-42.77,-65.04,25.99,11.13
346,Dargaville,0,NZ,1551895626,86,-35.94,173.86,11.17,1.53
347,Marzuq,12,YE,1551895626,66,14.4,46.47,19.67,1.28
348,Kurchum,76,KZ,1551895626,94,48.57,83.65,-7.54,1.58
349,Kendari,88,ID,1551895550,97,-3.99,122.52,23.22,1.33
350,Bay Roberts,90,CA,1551895408,92,47.58,-53.28,-3.89,1.0
351,Ardmore,1,US,1551895622,47,34.99,-86.85,3.33,2.1
352,Galle,1,US,1551895624,30,29.74,-97.91,12.22,5.1
353,Guerrero Negro,20,MX,1551895456,57,27.97,-114.04,21.84,2.43
354,Aketi,68,CD,1551895627,71,2.74,23.78,26.57,1.98
355,Aksarka,76,RU,1551895511,79,66.56,67.8,-10.26,6.23
356,Yarada,40,IN,1551891600,83,17.65,83.27,28.0,4.6
357,Marystown,92,CA,1551895627,100,47.17,-55.16,-3.76,3.23
358,Fukue,75,JP,1551895451,93,35.03,136.69,12.22,10.3
359,Yebaishou,0,CN,1551895628,57,41.4,119.64,-5.49,2.53
360,Virginia Beach,20,US,1551895625,31,36.85,-75.98,3.33,7.7
361,Balkanabat,0,TM,1551895628,83,39.51,54.36,3.87,1.68
362,Tomatlan,0,MX,1551895628,58,19.93,-105.25,28.09,1.53
363,Xiamen,90,CN,1551891600,93,24.46,118.07,14.0,8.0
364,Gejiu,92,CN,1551895629,97,23.36,103.16,13.02,1.08
365,Saint Anthony,90,US,1551895274,80,43.97,-111.68,3.89,3.1
366,Nova Olinda do Norte,32,BR,1551895629,52,-3.89,-59.1,33.27,2.38
367,Manicore,80,BR,1551895629,74,-5.81,-61.3,28.84,1.23
368,Port Keats,20,AU,1551895629,86,-14.25,129.55,27.12,1.63
369,Coquimbo,20,CL,1551891600,64,-29.95,-71.34,21.0,6.7
370,Encheng,92,CN,1551895630,95,22.74,107.09,13.49,3.03
